Schedule ID,Program ID,Week,Day,Day Name (EN),Day Name (AR),Focus,Exercises (IDs),Notes (EN),Notes (AR)
WS012,WP003,1,1,Upper Body A,الجزء العلوي أ,Upper,"EX004,EX029,EX008,EX011,EX009,EX010","Heavy compound focus. Lower reps higher weight.","تركيز على المركبات الثقيلة. تكرارات أقل وزن أعلى."
WS013,WP003,1,2,Lower Body A,الجزء السفلي أ,Lower,"EX002,EX003,EX012,EX021,EX030,EX013","Squat and deadlift focus. Build that base.","تركيز على السكوات والديدليفت. ابنِ الأساس."
WS014,WP003,1,3,Rest,راحة,Recovery,,"Essential recovery day between sessions.","يوم تعافي ضروري بين الجلسات."
WS015,WP003,1,4,Upper Body B,الجزء العلوي ب,Upper,"EX027,EX005,EX023,EX017,EX025,EX026","More isolation work. Higher rep ranges.","عمل عزل أكثر. نطاقات تكرار أعلى."
WS016,WP003,1,5,Lower Body B,الجزء السفلي ب,Lower,"EX035,EX022,EX006,EX019,EX021,EX013","Accessory focus. Build weak points.","تركيز على المساعدات. ابنِ نقاط الضعف."
WS017,WP005,1,1,Push Day Home,يوم الدفع منزلي,Chest/Shoulders/Triceps,"EX001,EX010,EX007,EX015","No equipment needed. Master your bodyweight.","بدون معدات. أتقن وزن جسمك."
WS018,WP005,1,2,Pull Day Home,يوم السحب منزلي,Back/Biceps,"EX005,EX036,EX014","Use a doorway pull-up bar if possible.","استخدم عقلة الباب إن أمكن."
WS019,WP005,1,3,Legs Day Home,يوم الأرجل منزلي,Legs,"EX002,EX006,EX013,EX031","Bodyweight leg workout. Add jumps for intensity.","تمرين أرجل بوزن الجسم. أضف القفزات للشدة."
WS020,WP005,1,4,Core & Cardio,بطن وكارديو,Core/Cardio,"EX007,EX014,EX015,EX016","Finish week strong. Build that core.","أنهِ الأسبوع بقوة. ابنِ تلك البطن."
WS021,WP006,1,1,HIIT Session A,جلسة HIIT أ,Full Body,"EX016,EX015,EX031,EX032","30 sec work 15 sec rest. 4 rounds.","30 ثانية عمل 15 ثانية راحة. 4 جولات."
WS022,WP006,1,2,Rest,راحة,Recovery,,"Active recovery only. Keep moving.","تعافي نشط فقط. استمر بالحركة."
WS023,WP006,1,3,HIIT Session B,جلسة HIIT ب,Full Body,"EX033,EX034,EX002,EX001","40 sec work 20 sec rest. 5 rounds.","40 ثانية عمل 20 ثانية راحة. 5 جولات."
WS024,WP006,1,4,HIIT Session C,جلسة HIIT ج,Full Body,"EX015,EX016,EX032,EX006","Tabata style. 20 sec work 10 sec rest. 8 rounds.","نمط تاباتا. 20 ثانية عمل 10 ثانية راحة. 8 جولات."
WS025,WP007,1,1,Chest Day,يوم الصدر,Chest,"EX004,EX027,EX028,EX020,EX001","All chest. Multiple angles for full development.","كله صدر. زوايا متعددة للتطوير الكامل."
WS026,WP007,1,2,Back Day,يوم الظهر,Back,"EX003,EX005,EX029,EX017,EX011","Width and thickness focus.","تركيز على العرض والسماكة."
WS027,WP007,1,3,Shoulders Day,يوم الأكتاف,Shoulders,"EX008,EX023,EX024,EX018","All three heads. Round shoulder development.","الثلاث رؤوس. تطوير أكتاف مستديرة."
WS028,WP007,1,4,Arms Day,يوم الذراعين,Arms,"EX009,EX025,EX026,EX010","Biceps and triceps superset for pump.","سوبرسيت بايسبس وترايسبس للضخ."
WS029,WP007,1,5,Legs Day,يوم الأرجل,Legs,"EX002,EX012,EX003,EX022,EX021,EX019,EX013","Complete leg destruction.","تدمير كامل للأرجل."
