Exercise ID,Exercise Name (EN),Exercise Name (AR),Category,Muscle Group,Equipment,Difficulty,Instructions (EN),Instructions (AR),Image URL,Video URL,Reps,Sets,Rest (sec)
EX011,Lat Pulldown,سحب علوي,Strength,Back,Cable Machine,Beginner,"Grip bar wide, pull down to upper chest while squeezing shoulder blades, return slowly","امسك البار بعرض، اسحب للأسفل نحو أعلى الصدر مع ضغط لوحي الكتف، عد ببطء",https://images.unsplash.com/photo-1534438327276-14e5300c3a48?w=400,,10-12,3,60
EX012,Leg Press,ضغط الأرجل,Strength,Legs,Leg Press Machine,Beginner,"Sit in machine, place feet shoulder-width on platform, push until legs almost straight, return","اجلس في الجهاز، ضع القدمين بعرض الكتفين، ادفع حتى تستقيم الساقين تقريباً، عد",https://images.unsplash.com/photo-1434682881908-b43d0467b798?w=400,,12-15,3,60
EX013,Calf Raises,رفع الكعب,Strength,Legs,Bodyweight,Beginner,"Stand on edge of step, raise heels as high as possible, lower below step level","قف على حافة درجة، ارفع الكعبين لأعلى ما يمكن، انزل تحت مستوى الدرجة",https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?w=400,,15-20,3,45
EX014,Russian Twist,الالتواء الروسي,Core,Abs,Bodyweight,Intermediate,"Sit with knees bent, lean back slightly, rotate torso side to side with or without weight","اجلس مع ثني الركبتين، مل للخلف قليلاً، دور جذعك يميناً ويساراً مع أو بدون وزن",https://images.unsplash.com/photo-1544367567-0f2fcb009e0b?w=400,,20 total,3,45
EX015,Mountain Climbers,متسلق الجبال,Cardio,Full Body,Bodyweight,Intermediate,"Start in plank, drive knees alternately toward chest in running motion","ابدأ بالبلانك، ادفع الركبتين بالتناوب نحو الصدر بحركة ركض",https://images.unsplash.com/photo-1434682772747-f16d3ea162c3?w=400,,30-45 sec,3,30
EX016,Burpees,البيربي,Cardio,Full Body,Bodyweight,Advanced,"Squat down, jump feet back to plank, do push-up, jump feet forward, jump up with arms overhead","انزل سكوات، اقفز للخلف للبلانك، اعمل ضغط، اقفز للأمام، اقفز لفوق مع رفع الذراعين",https://images.unsplash.com/photo-1599058945522-28d584b6f0ff?w=400,,10-15,3,60
EX017,Rowing,التجديف,Strength,Back,Cable/Barbell,Intermediate,"Pull weight toward lower chest/upper abs, squeeze shoulder blades, return with control","اسحب الوزن نحو أسفل الصدر/أعلى البطن، اضغط لوحي الكتف، عد بتحكم",https://images.unsplash.com/photo-1541534741688-6078c6bfb5c5?w=400,,10-12,4,60
EX018,Face Pulls,سحب للوجه,Strength,Shoulders,Cable,Intermediate,"Pull rope toward face, separating hands at end, squeeze rear delts, return slowly","اسحب الحبل نحو الوجه، افصل اليدين في النهاية، اضغط الدلتات الخلفية، عد ببطء",https://images.unsplash.com/photo-1534438327276-14e5300c3a48?w=400,,12-15,3,45
EX019,Hip Thrust,دفع الورك,Strength,Glutes,Barbell/Bench,Intermediate,"Sit against bench, roll bar over hips, drive hips up squeezing glutes, lower with control","اجلس مستنداً للبنش، مرر البار فوق الوركين، ادفع الوركين لأعلى مع ضغط المؤخرة، انزل بتحكم",https://images.unsplash.com/photo-1574680096145-d05b474e2155?w=400,,10-12,4,60
EX020,Cable Fly,فتح الصدر بالكيبل,Strength,Chest,Cable Machine,Intermediate,"Stand between cables, arms out to sides, bring hands together in front squeezing chest","قف بين الكيبلات، الذراعين للجانبين، قرب اليدين أمامك مع ضغط الصدر",https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?w=400,,12-15,3,60
EX021,Leg Curl,ثني الأرجل,Strength,Legs,Machine,Beginner,"Lie face down on machine, curl heels toward glutes, lower with control","استلقِ على بطنك في الجهاز، اثنِ الكعبين نحو المؤخرة، انزل بتحكم",https://images.unsplash.com/photo-1434682881908-b43d0467b798?w=400,,12-15,3,60
EX022,Leg Extension,فرد الأرجل,Strength,Legs,Machine,Beginner,"Sit in machine, extend legs until straight, lower with control","اجلس في الجهاز، افرد الساقين حتى تستقيما، انزل بتحكم",https://images.unsplash.com/photo-1434682881908-b43d0467b798?w=400,,12-15,3,60
EX023,Side Lateral Raise,رفع جانبي,Strength,Shoulders,Dumbbells,Beginner,"Hold dumbbells at sides, raise arms out to sides until shoulder height, lower slowly","امسك الدمبلز على الجانبين، ارفع الذراعين للجانبين حتى مستوى الكتف، انزل ببطء",https://images.unsplash.com/photo-1581009146145-b5ef050c149a?w=400,,12-15,3,45
EX024,Front Raise,رفع أمامي,Strength,Shoulders,Dumbbells,Beginner,"Hold dumbbells in front of thighs, raise arms forward to shoulder height, lower slowly","امسك الدمبلز أمام الفخذين، ارفع الذراعين للأمام حتى مستوى الكتف، انزل ببطء",https://images.unsplash.com/photo-1581009146145-b5ef050c149a?w=400,,12-15,3,45
EX025,Hammer Curl,هامر كيرل,Strength,Arms,Dumbbells,Beginner,"Hold dumbbells with neutral grip (palms facing each other), curl up, lower slowly","امسك الدمبلز بقبضة محايدة (الكفان متقابلان)، ارفع، انزل ببطء",https://images.unsplash.com/photo-1581009146145-b5ef050c149a?w=400,,12-15,3,60
EX026,Skull Crushers,سكل كراشر,Strength,Arms,EZ Bar/Dumbbells,Intermediate,"Lie on bench, hold weight above chest, lower toward forehead by bending elbows, extend back up","استلقِ على البنش، امسك الوزن فوق الصدر، انزل نحو الجبهة بثني المرفقين، افرد للأعلى",https://images.unsplash.com/photo-1534368959876-26bf04f2c947?w=400,,10-12,3,60
EX027,Incline Bench Press,بنش مائل,Strength,Chest,Barbell/Dumbbells,Intermediate,"Lie on incline bench, grip bar, lower to upper chest, press up","استلقِ على البنش المائل، امسك البار، انزل لأعلى الصدر، ادفع للأعلى",https://images.unsplash.com/photo-1534368959876-26bf04f2c947?w=400,,8-12,4,90
EX028,Decline Bench Press,بنش منحدر,Strength,Chest,Barbell/Dumbbells,Intermediate,"Lie on decline bench, grip bar, lower to lower chest, press up","استلقِ على البنش المنحدر، امسك البار، انزل لأسفل الصدر، ادفع للأعلى",https://images.unsplash.com/photo-1534368959876-26bf04f2c947?w=400,,8-12,4,90
EX029,Barbell Row,تجديف بالبار,Strength,Back,Barbell,Intermediate,"Bend forward at hips, grip bar, pull to lower chest, lower with control","انحنِ للأمام من الوركين، امسك البار، اسحب لأسفل الصدر، انزل بتحكم",https://images.unsplash.com/photo-1517963879433-6ad2b056d712?w=400,,8-12,4,90
EX030,Walking Lunges,لانجز متحرك,Strength,Legs,Bodyweight/Dumbbells,Intermediate,"Step forward into lunge, push off and step into next lunge, continue walking","اخطو للأمام في لانج، ادفع واخطو في لانج التالي، استمر بالمشي",https://images.unsplash.com/photo-1434682881908-b43d0467b798?w=400,,10 each leg,3,60
EX031,Box Jumps,قفز الصندوق,Plyometric,Legs,Plyo Box,Intermediate,"Stand facing box, squat slightly, jump onto box, step down and repeat","قف مواجهاً الصندوق، اثنِ قليلاً، اقفز على الصندوق، انزل وكرر",https://images.unsplash.com/photo-1599058945522-28d584b6f0ff?w=400,,8-12,3,60
EX032,Jump Rope,نط الحبل,Cardio,Full Body,Jump Rope,Beginner,"Hold rope handles, swing rope over head and under feet, jump over rope","امسك مقابض الحبل، مرر الحبل فوق الرأس وتحت القدمين، اقفز فوق الحبل",https://images.unsplash.com/photo-1434682772747-f16d3ea162c3?w=400,,1-3 min,3,30
EX033,Battle Ropes,حبال المعركة,Cardio,Arms,Battle Ropes,Intermediate,"Hold rope ends, alternate arms making waves in rope, keep core tight","امسك نهايات الحبل، بادل الذراعين لعمل موجات في الحبل، حافظ على شد البطن",https://images.unsplash.com/photo-1534438327276-14e5300c3a48?w=400,,30-45 sec,3,30
EX034,Kettlebell Swing,أرجحة الكيتل بيل,Strength,Full Body,Kettlebell,Intermediate,"Hinge at hips, swing kettlebell between legs, drive hips forward to swing up to chest height","انحنِ من الوركين، أرجح الكيتل بيل بين الساقين، ادفع الوركين للأمام لترجيحه لمستوى الصدر",https://images.unsplash.com/photo-1517963879433-6ad2b056d712?w=400,,15-20,3,45
EX035,Goblet Squat,سكوات الكأس,Strength,Legs,Kettlebell/Dumbbell,Beginner,"Hold weight at chest, squat down keeping chest up, push through heels to stand","امسك الوزن عند الصدر، انزل سكوات مع رفع الصدر، ادفع من الكعبين للوقوف",https://images.unsplash.com/photo-1574680096145-d05b474e2155?w=400,,12-15,3,60
EX036,Dead Hang,التعلق,Stretching,Back,Pull-up Bar,Beginner,"Hang from bar with arms fully extended, relax shoulders and breathe deeply","تعلق من البار مع فرد الذراعين كاملاً، أرخِ الكتفين وتنفس بعمق",https://images.unsplash.com/photo-1598971457999-ca4ef48a9a71?w=400,,30-60 sec,3,30
EX037,Farmer's Walk,مشي المزارع,Strength,Full Body,Dumbbells/Kettlebells,Intermediate,"Hold heavy weights at sides, walk with good posture, keep core tight","امسك أوزان ثقيلة على الجانبين، امشِ بوضعية جيدة، حافظ على شد البطن",https://images.unsplash.com/photo-1581009146145-b5ef050c149a?w=400,,30-45 sec,3,60
EX038,Ab Wheel Rollout,عجلة البطن,Core,Abs,Ab Wheel,Advanced,"Kneel, grip wheel, roll forward keeping core tight, roll back to start","اركع، امسك العجلة، تدحرج للأمام مع شد البطن، عد للبداية",https://images.unsplash.com/photo-1571019614242-c5c5dee9f50b?w=400,,8-12,3,60
EX039,Hanging Leg Raise,رفع الساقين معلقاً,Core,Abs,Pull-up Bar,Advanced,"Hang from bar, raise legs until parallel to floor or higher, lower with control","تعلق من البار، ارفع الساقين حتى توازي الأرض أو أعلى، انزل بتحكم",https://images.unsplash.com/photo-1598971457999-ca4ef48a9a71?w=400,,10-15,3,60
EX040,Cable Woodchop,قطع الخشب بالكيبل,Core,Abs,Cable Machine,Intermediate,"Set cable high, pull diagonally down across body rotating torso, return with control","اضبط الكيبل عالياً، اسحب قطرياً للأسفل عبر الجسم مع دوران الجذع، عد بتحكم",https://images.unsplash.com/photo-1534438327276-14e5300c3a48?w=400,,12-15 each,3,45
